Strain,Genotype,Medium,Dilution,Measurement_Type,Time,Measurement_ID,Original_ID,Value,Original_Value,Unit,Original_Unit,Error,Original_Error,Source
BW25113,WT,GLC,NA,consumption_rate,NA,qGlc,qGLC,8.77,8.77,mmol/h/g,mmol/h/gDW,0.15,0.15,"(Usui, 2012)"
BW25113,dpgi,GLC,NA,consumption_rate,NA,qGlc,qGLC,4.46,4.46,mmol/h/g,mmol/h/gDW,3.07,3.07,"(Usui, 2012)"
BW25113,pgi(0),GLC,NA,consumption_rate,NA,qGlc,qGLC,4.67,4.67,mmol/h/g,mmol/h/gDW,0.85,0.85,"(Usui, 2012)"
BW25113,pgi(20),GLC,NA,consumption_rate,NA,qGlc,qGLC,5.87,5.87,mmol/h/g,mmol/h/gDW,0.51,0.51,"(Usui, 2012)"
BW25113,pgi(50),GLC,NA,consumption_rate,NA,qGlc,qGLC,4.58,4.58,mmol/h/g,mmol/h/gDW,1.94,1.94,"(Usui, 2012)"
BW25113,pgi(100),GLC,NA,consumption_rate,NA,qGlc,qGLC,4.91,4.91,mmol/h/g,mmol/h/gDW,3.96,3.96,"(Usui, 2012)"
BW25113,WT,GLC,NA,growth_rate,NA,mu,mu,0.74,0.74,h-1,h-1,0.02,0.02,"(Usui, 2012)"
BW25113,dpgi,GLC,NA,growth_rate,NA,mu,mu,0.29,0.29,h-1,h-1,0.01,0.01,"(Usui, 2012)"
BW25113,pgi(0),GLC,NA,growth_rate,NA,mu,mu,0.23,0.23,h-1,h-1,0.01,0.01,"(Usui, 2012)"
BW25113,pgi(20),GLC,NA,growth_rate,NA,mu,mu,0.39,0.39,h-1,h-1,0.03,0.03,"(Usui, 2012)"
BW25113,pgi(50),GLC,NA,growth_rate,NA,mu,mu,0.47,0.47,h-1,h-1,0.01,0.01,"(Usui, 2012)"
BW25113,pgi(100),GLC,NA,growth_rate,NA,mu,mu,0.56,0.56,h-1,h-1,0.05,0.05,"(Usui, 2012)"
BW25113,eno(0),GLC,NA,growth_rate,NA,mu,mu,NA,NA,h-1,h-1,NA,NA,"(Usui, 2012)"
BW25113,eno(50),GLC,NA,growth_rate,NA,mu,mu,0.67,0.67,h-1,h-1,0.01,0.01,"(Usui, 2012)"
